XYZ Points Summary (22/04/2017 6:26am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

       Quick Summary
    Number of Points: 367
    Number of Images: 26

Sightings
                                 Point Coordinates                       Standard Errors                           #
               Label           X              Y              Z         SX        SY        SZ     RMS xy(µm)  Rays
            WONB37_2       -35.2843       189.6235        -0.3167    0.0367    0.0375    0.0617   0.734        18
          WONB37_B13       -35.4571       208.7256         1.1283    0.0359    0.0366    0.0588   0.707        19
            WONB37_3       -42.9842       193.4562        -0.5564    0.0358    0.0379    0.0619   0.772        18
           WONB11_B5       -30.2809       341.9128         0.0152    0.0488    0.0477    0.0734   0.647        11
           WONB11_B1       -35.6059       331.7970        -0.0503    0.0479    0.0460    0.0690   0.544        12
            WONB43_3       -83.6003       143.1038        -1.5470    0.0352    0.0368    0.0629   1.064        17
          WONB43_B14       -88.0093       129.4020        -1.4334    0.0368    0.0377    0.0653   0.852        16
            WONB11_1       -39.9157       324.3461        -0.4610    0.0480    0.0460    0.0691   0.574        12
          WONB43_B11       -91.5712       121.9276        -1.5424    0.0368    0.0377    0.0660   0.808        16
           WONB11_B9       -36.1321       351.7185        -0.4274    0.0477    0.0458    0.0689   0.708        12
            WONB11_5       -38.5779       343.5373        -0.4047    0.0493    0.0490    0.0775   0.741        10
              WONB11       -42.9392       336.0830        -0.4702    0.0485    0.0473    0.0725   0.554        11
            WONB43_2       -91.8778       145.4045        -2.0232    0.0365    0.0370    0.0632   0.734        17
              WONB43       -94.2248       137.1393        -1.7048    0.0370    0.0387    0.0694   0.732        15
            WONB43_5       -96.5734       128.8564        -1.7842    0.0372    0.0387    0.0698   0.717        15
            WONB11_2       -47.2643       328.6720        -0.7045    0.0493    0.0492    0.0776   0.759        10
            WONB43_1      -100.0773       147.7380        -2.5015    0.0360    0.0362    0.0602   0.716        18
            WONB11_3       -54.6183       332.9743        -1.0749    0.0497    0.0482    0.0779   0.703        10
           WONB43_B1      -102.4652       139.5003        -2.0338    0.0359    0.0360    0.0596   0.789        18
            WONB45_1      -108.0442       293.1392        -2.7618    0.0377    0.0383    0.0652   0.916        16
            WONB45_2      -114.4660       287.3820        -3.0243    0.0386    0.0407    0.0780   0.935        13
           WONB45_B1      -113.8233       299.5288        -2.6165    0.0376    0.0383    0.0652   1.083        16
            WONB45_3      -120.8343       281.6359        -3.1423    0.0380    0.0403    0.0728   1.082        14
              WONB45      -120.2149       293.7774        -3.0443    0.0377    0.0390    0.0683   1.004        15
          WONB45_B15      -128.0907       290.4495        -3.2116    0.0375    0.0381    0.0654   0.997        16
            WONB45_5      -125.9373       300.1471        -3.3097    0.0374    0.0382    0.0653   1.007        16
          WONB45_B12      -133.8315       296.7981        -3.5115    0.0375    0.0390    0.0687   1.063        15
            WONB49_1       461.8621       -14.7361        14.7265    0.0437    0.0467    0.0831   1.140        11
           WONB49_B2       459.2360        -3.5709        14.8278    0.0437    0.0463    0.0828   0.760        11
            WONB49_2       453.3924       -16.2408        14.3895    0.0441    0.0480    0.0897   0.927        10
           WONB49_B5       457.6633         4.9400        14.5272    0.0446    0.0483    0.0840   0.766        10
              WONB49       451.7697        -7.8004        14.5234    0.0438    0.0466    0.0828   0.861        11
            WONB49_3       444.8990       -17.8177        14.0540    0.0453    0.0509    0.0915   0.968         9
            WONB49_5       450.2082         0.6829        14.3164    0.0442    0.0473    0.0893   0.778        10
          WONB49_B11       442.5895         4.7038        13.8143    0.0443    0.0473    0.0892   0.711        10
            WONB25_3       183.4470       305.3388         6.5913    0.0367    0.0357    0.0531   0.921        18
            WONB25_2       180.4957       313.4024         6.5104    0.0362    0.0355    0.0524   0.886        19
            WONB25_1       177.5724       321.4361         6.3335    0.0362    0.0355    0.0524   0.890        19
              WONB25       172.4561       310.4425         6.5204    0.0363    0.0356    0.0523   0.834        19
           WONB25_B1       169.4987       318.4667         6.4434    0.0362    0.0355    0.0524   0.928        19
            WONB25_5       164.3992       307.4754         6.1359    0.0372    0.0357    0.0546   0.854        18
          WONB25_B10       159.1923       300.6536         5.7928    0.0363    0.0355    0.0529   0.818        19
           WONB25_B7       156.0544       309.2607         5.6703    0.0382    0.0373    0.0533   0.893        18
            WONB46_3        47.9005       298.7687         2.3844    0.0354    0.0344    0.0519   0.802        19
            WONB46_2        48.8862       307.2902         2.3031    0.0357    0.0340    0.0521   0.801        19
            WONB46_1        49.9147       315.7435         2.2277    0.0369    0.0356    0.0536   0.785        18
              WONB46        40.3692       308.2596         2.3690    0.0344    0.0332    0.0516   0.826        20
           WONB46_B2        38.5401       316.5928         2.2754    0.0356    0.0346    0.0531   0.826        19
            WONB46_5        31.8118       309.2699         1.9325    0.0343    0.0331    0.0517   0.837        20
           WONB46_B5        29.9960       317.5765         1.7382    0.0355    0.0346    0.0531   0.870        19
           WONB46_B8        23.7091       312.1783         1.5384    0.0366    0.0354    0.0537   0.883        18
           WONB35_B8      -175.5392       177.7583        -4.8269    0.0376    0.0376    0.0652   1.030        16
            WONB35_5      -167.1516       179.6003        -4.1324    0.0401    0.0398    0.0735   0.978        14
           WONB35_B1      -163.0948       191.0418        -3.9535    0.0375    0.0377    0.0657   0.947        16
            WONB15_1      -192.4500        78.2550        -5.1232    0.0397    0.0437    0.0782   1.013        12
           WONB15_B1      -192.0310        69.6937        -4.6432    0.0395    0.0414    0.0732   1.153        13
              WONB35      -159.4818       183.2757        -3.6745    0.0376    0.0378    0.0657   0.751        16
            WONB35_1      -155.4059       194.6889        -3.7684    0.0375    0.0369    0.0627   0.802        17
           WONB15_B5      -190.9947        58.3758        -4.7664    0.0402    0.0418    0.0694   1.141        13
          WONB35_B15      -158.5748       174.7451        -3.5269    0.0376    0.0377    0.0651   0.826        16
            WONB15_2      -183.8544        78.6414        -4.8824    0.0367    0.0395    0.0700   1.100        14
            WONB35_2      -151.7497       186.9801        -3.6151    0.0385    0.0381    0.0630   0.728        16
              WONB15      -183.4921        70.1039        -4.6066    0.0364    0.0376    0.0632   1.012        16
            WONB15_5      -183.0512        61.5444        -4.7213    0.0408    0.0432    0.0743   0.938        12
            WONB35_3      -148.0968       179.1869        -3.4414    0.0398    0.0391    0.0691   0.690        15
            WONB15_3      -175.3237        79.0883        -4.7248    0.0398    0.0417    0.0733   0.882        13
          WONB15_B13      -174.5095        61.9658        -4.7173    0.0368    0.0395    0.0697   0.826        14
           WONB10_B8      -144.3867        -9.7253        -3.1328    0.0427    0.0451    0.0756   0.847        11
           WONB10_B5      -140.9591        -2.1653        -2.9642    0.0423    0.0422    0.0667   0.835        13
            WONB10_5      -135.8381        -9.0354        -2.6660    0.0426    0.0437    0.0707   0.764        12
           WONB10_B1      -130.2311         1.7959        -2.2958    0.0425    0.0423    0.0665   0.779        13
              WONB10      -127.6788        -6.4305        -2.1908    0.0428    0.0438    0.0706   0.789        12
            WONB10_1      -122.0713         4.3723        -1.9244    0.0435    0.0455    0.0753   0.784        11
            WONB10_2      -119.4690        -3.8209        -1.9508    0.0428    0.0423    0.0664   0.921        13
            WONB10_3      -116.8607       -12.0248        -1.9299    0.0418    0.0431    0.0662   1.053        13
            WONB8_B4       -55.1877       -58.6018        -0.4362    0.0405    0.0408    0.0677   0.680        13
             WONB8_5       -54.9400       -67.1661        -1.2303    0.0388    0.0392    0.0617   0.693        15
           WONB8_B14       -51.9616       -75.1768        -1.8485    0.0412    0.0416    0.0652   1.029        13
            WONB8_B1       -46.6056       -58.3571        -0.4874    0.0403    0.0397    0.0643   0.644        14
               WONB8       -46.3735       -66.9247        -1.0142    0.0389    0.0392    0.0616   0.900        15
             WONB8_1       -38.0562       -58.0469        -1.0362    0.0397    0.0402    0.0651   0.922        14
             WONB8_2       -37.7562       -66.6285        -1.2776    0.0404    0.0396    0.0644   0.783        14
             WONB8_3       -37.5126       -75.2356        -1.6456    0.0430    0.0421    0.0686   0.678        12
            WONB2_B4        38.7040       -87.5682         1.6487    0.0411    0.0397    0.0634   0.620        14
            WONB2_B1        42.4252       -79.8296         2.1730    0.0412    0.0398    0.0634   0.593        14
             WONB2_1        46.1647       -72.1052         2.3504    0.0414    0.0400    0.0634   0.649        14
            WONB2_B8        41.0392       -98.0306         1.6462    0.0430    0.0412    0.0637   0.609        13
             WONB2_5        46.4771       -91.3527         2.2754    0.0412    0.0397    0.0633   0.647        14
               WONB2        50.1546       -83.6388         2.8229    0.0405    0.0393    0.0606   0.664        15
             WONB2_2        53.9034       -75.9080         3.0785    0.0406    0.0394    0.0606   0.611        15
